symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
US500,BUY,2024-02-22 18:00:00+00:00,2024-02-23 06:00:00+00:00,5075.23,5091.91,0.9651582142857434,12.0,0,12H_ML_CUT,
US100,SELL,2024-02-23 03:00:00+00:00,2024-02-23 07:15:00+00:00,17995.16,17977.73857142857,0.20733171428573716,4.25,0,TRAILING_BE_EXIT,
US500,SELL,2024-02-23 06:00:00+00:00,2024-02-23 14:45:00+00:00,5091.91,5111.31,-4.171927285714384,8.75,1,SOFT_ATR_STOP,
US30,BUY,2024-02-23 08:00:00+00:00,2024-02-23 16:15:00+00:00,39098.3,39251.22,2.917201999999965,8.25,0,TRAILING_BE_EXIT,
USDCHF,SELL,2024-02-23 15:00:00+00:00,2024-02-25 22:15:00+00:00,0.88007,0.87907,19.499649857235145,55.25,1,12H_ML_CUT,
US30,BUY,2024-02-23 17:00:00+00:00,2024-02-25 23:15:00+00:00,39206.4,39126.6,-7.726100000000583,54.25,1,12H_ML_CUT,
XAUUSD,BUY,2024-02-26 01:00:00+00:00,2024-02-26 09:15:00+00:00,2030.322,2033.9247714285714,3.323902392857201,8.25,0,TRAILING_BE_EXIT,
US30,BUY,2024-02-26 00:00:00+00:00,2024-02-26 12:00:00+00:00,39148.1,39129.5,-2.565575714285569,12.0,0,12H_ML_CUT,
BTCUSD,SELL,2024-02-26 11:00:00+00:00,2024-02-26 15:15:00+00:00,51113.32,51941.98,-33.432140657143,4.25,0,SOFT_ATR_STOP,
AUDUSD,SELL,2024-02-26 16:00:00+00:00,2024-02-26 20:00:00+00:00,0.65387,0.6534942857142857,0.7785639142855709,4.0,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-02-26 20:00:00+00:00,2024-02-27 02:15:00+00:00,54442.78,56277.38,36.54584849999997,6.25,0,TRAILING_BE_EXIT,
EURUSD,BUY,2024-02-26 15:00:00+00:00,2024-02-27 03:00:00+00:00,1.08459,1.08509,2.239988377144193,12.0,0,12H_ML_CUT,
US500,BUY,2024-02-27 04:00:00+00:00,2024-02-27 08:00:00+00:00,5069.62,5072.902142857143,-0.3744421428570987,4.0,0,TRAILING_BE_EXIT,
US100,BUY,2024-02-27 03:00:00+00:00,2024-02-27 08:45:00+00:00,17911.92,17927.386428571426,0.8415495714285112,5.75,0,TRAILING_BE_EXIT,
USDCAD,SELL,2024-02-27 09:00:00+00:00,2024-02-27 13:15:00+00:00,1.34972,1.3492757142857141,1.4810529035167854,4.25,0,TRAILING_BE_EXIT,
BTCUSD,SELL,2024-02-27 08:00:00+00:00,2024-02-27 20:00:00+00:00,56052.89,57341.13,-12.955678303571409,12.0,0,12H_ML_CUT,
USDJPY,SELL,2024-02-27 14:00:00+00:00,2024-02-28 02:00:00+00:00,150.268,150.394,-8.061894262499328,12.0,0,12H_ML_CUT,
BTCUSD,BUY,2024-02-27 20:00:00+00:00,2024-02-28 08:00:00+00:00,57341.13,58217.44,8.690647942857192,12.0,0,12H_ML_CUT,
BTCUSD,SELL,2024-02-28 08:00:00+00:00,2024-02-28 13:30:00+00:00,58217.44,60190.68,-56.00470832857144,5.5,1,SOFT_ATR_STOP,
US30,BUY,2024-02-28 02:00:00+00:00,2024-02-28 14:00:00+00:00,38948.8,38880.9,-8.60600071428586,12.0,2,12H_ML_CUT,
USDCAD,SELL,2024-02-28 14:00:00+00:00,2024-02-28 14:30:00+00:00,1.35784,1.3571671428571428,1.891525684277224,0.5,0,TRAILING_BE_EXIT,
GBPUSD,SELL,2024-02-28 15:00:00+00:00,2024-02-29 03:00:00+00:00,1.26493,1.26675,-6.120007049999798,12.0,0,12H_ML_CUT,
USDCAD,SELL,2024-02-28 16:00:00+00:00,2024-02-29 04:00:00+00:00,1.35638,1.35703,-3.9571446593981663,12.0,0,12H_ML_CUT,
US100,SELL,2024-02-29 03:00:00+00:00,2024-02-29 08:45:00+00:00,17875.26,17833.77742857143,3.4427798571426056,5.75,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2024-02-29 04:00:00+00:00,2024-02-29 13:15:00+00:00,2036.541,2030.6770285714285,11.171392785714236,9.25,0,TRAILING_BE_EXIT,
AUDUSD,SELL,2024-02-29 09:00:00+00:00,2024-02-29 13:45:00+00:00,0.65092,0.6496871428571428,9.115698278572461,4.75,0,TRAILING_BE_EXIT,
USDJPY,SELL,2024-02-29 14:00:00+00:00,2024-03-01 02:00:00+00:00,149.778,150.35,-11.923586583685742,12.0,0,12H_ML_CUT,
USDCHF,BUY,2024-02-29 15:00:00+00:00,2024-03-01 03:00:00+00:00,0.87893,0.88423,28.77136927851658,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2024-03-01 03:00:00+00:00,2024-03-01 09:15:00+00:00,2045.378,2041.8354285714286,3.2640758928570786,6.25,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-01 02:00:00+00:00,2024-03-01 14:00:00+00:00,61183.92,62431.35,12.401438014285716,12.0,0,12H_ML_CUT,
EURUSD,SELL,2024-03-01 11:00:00+00:00,2024-03-01 15:15:00+00:00,1.081,1.0809485714285714,7.142825714286546,4.25,1,TRAILING_BE_EXIT,
US30,BUY,2024-03-01 16:00:00+00:00,2024-03-01 17:15:00+00:00,39036.7,39069.85,2.6063700000001457,1.25,0,TRAILING_BE_EXIT,
USDCHF,SELL,2024-03-01 17:00:00+00:00,2024-03-03 22:15:00+00:00,0.88439,0.88193,10.197009325327164,53.25,0,12H_ML_CUT,
