symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session,f_er_ratio,f_atr_ratio,f_rsi_h1_delta,f_rsi_m15_delta,f_adx,f_rsi_m15,f_RSI_M15,f_RSI_H1,f_RSI_H4,f_ADX,f_ATR,f_RSI_Delta,f_Volatility_Index,f_hour,f_Session_Code,f_RSI_H1_Div,f_Trend_Vol_Ratio
AUDUSD,SELL,2024-10-10 14:00:00+00:00,2024-10-11 02:00:00+00:00,0.67211,0.67408,-11.500026342857563,12.0,1,12H_ML_CUT,OVERLAP_EU_US,0.0576923076923003,1.7221806548156267,-8.158199232229528,-11.531690140086134,37.51607094629806,47.932492177204,47.932492177204,46.87621432394305,30.02223799575026,37.51607094629806,0.0012392857142857125,-17.910254181453737,0.0018438733455620547,14,4,3.123785676056947,0.046493130779876456
NZDUSD,BUY,2024-10-10 15:00:00+00:00,2024-10-11 03:00:00+00:00,0.60745,0.60994,4.539995614285699,12.0,0,12H_ML_CUT,OVERLAP_EU_US,0.04646464646465816,1.9836247643153972,-2.988371177584078,-9.841917673993386,41.35701397402919,46.624402016112626,46.624402016112626,47.024362403582494,30.654544174204005,41.35701397402919,0.0012864285714285614,-15.96985784190862,0.0021177521959479155,15,4,2.9756375964175064,0.053202844405161424
US100,SELL,2024-10-11 03:00:00+00:00,2024-10-11 04:45:00+00:00,20284.05,20258.191785714283,0.5635949357143312,1.75,0,TRAILING_BE_EXIT,ASIA,0.048978017740092576,0.4660820062365759,-0.5327057177214769,-2.705999658877822,24.919704137007404,52.65331079291044,52.65331079291044,57.143925659005845,64.43093872935333,24.919704137007404,60.71571428571432,11.77762793644289,0.0029932737439374445,3,0,7.143925659005845,1513.0176364670747
US30,SELL,2024-10-11 02:00:00+00:00,2024-10-11 05:00:00+00:00,42529.3,42492.85,1.7614260000002617,3.0,0,TRAILING_BE_EXIT,ASIA,0.5974025974025094,0.39526659897030464,-0.10343191439906718,-2.4195880782287276,52.48697914013695,53.860698020785435,53.860698020785435,56.67395520116869,64.67527659226343,52.48697914013695,94.21428571428727,10.814578571477995,0.0022152794829514537,2,0,6.673955201168688,4945.0232489886985
US30,BUY,2024-10-11 05:00:00+00:00,2024-10-11 12:00:00+00:00,42503.6,42496.86571428571,2.6814697142854445,7.0,1,TRAILING_BE_EXIT,ASIA,0.42047930283222745,0.26053317787212593,-2.7909648190912506,-6.239929716635338,42.15707223515386,43.7631988213483,43.7631988213483,52.912610817437084,62.13658875051354,42.15707223515386,72.90000000000249,18.373389929165242,0.0017151488344517287,5,0,2.912610817437084,3073.2505659428216
US500,BUY,2024-10-11 06:00:00+00:00,2024-10-11 16:15:00+00:00,5787.55,5813.762571428571,1.9183548571428353,10.25,0,TRAILING_BE_EXIT,ASIA,0.4473684210525743,0.4641837232211292,-1.0489742341918884,2.2798153559771137,26.787972226300607,42.43282737932611,42.43282737932611,50.73358739858081,62.677833511330505,26.787972226300607,9.262857142857358,20.24500613200439,0.0016004798477520467,6,0,0.7335873985808092,248.1331598790531
BTCUSD,BUY,2024-10-11 17:00:00+00:00,2024-10-11 19:45:00+00:00,62288.3,63009.399142857146,14.277749850000008,2.75,0,TRAILING_BE_EXIT,US,0.40306380290587396,1.4099303352494224,0.18630391924790501,-4.1099726647751,67.03520809329115,69.59442575255697,69.59442575255697,75.05824635316006,56.82477271097587,67.03520809329115,328.1499999999999,-12.769653041581101,0.0052682445981026916,17,2,25.058246353160058,21997.603535813483
BTCUSD,BUY,2024-10-11 20:00:00+00:00,2024-10-12 08:00:00+00:00,63102.34,62762.12,-6.947858021428448,12.0,0,12H_ML_CUT,US,0.4328316338976456,1.4046806982587732,1.070972073762988,-8.950393338896333,87.63996097031112,69.16074147271587,69.16074147271587,81.23804908269459,62.36694972938878,87.63996097031112,415.27642857142826,-6.793791743327091,0.00658099887534168,20,2,31.238049082694587,36394.809991890164
AUDUSD,SELL,2024-10-11 12:00:00+00:00,2024-10-13 21:15:00+00:00,0.673,0.67314,18.969959350001762,57.25,2,12H_ML_CUT,EUROPE,0.4380952380952255,0.8232399697198685,-3.971852407265743,7.051491845654255,39.59859418952751,40.21330632935566,40.21330632935566,45.9054812980151,39.70045388013434,39.59859418952751,0.0008378571428571362,-0.5128524492213202,0.0012449586075143182,12,1,4.094518701984903,0.033177964988796715
US500,BUY,2024-10-14 01:00:00+00:00,2024-10-14 05:15:00+00:00,5815.93,5820.6957142857145,-0.22638171428571902,4.25,0,TRAILING_BE_EXIT,ASIA,0.1101256467110059,0.8196458417228278,-0.8010630329405757,0.9907001214859292,33.279432623773275,51.75815844586442,51.75815844586442,63.32488818304758,66.86227492809562,33.279432623773275,10.78000000000007,15.104116482231198,0.0018535298739840525,1,0,13.324888183047577,358.75228368427827
