symbol,direction,entry_time,session,profit_usd,is_win,RSI_M15,RSI_H1,RSI_H4,ADX,ATR,hour
USDCAD,BUY,2026-01-06T00:00:00+00:00,ASIA,3.6252345282338903,1,61.141030701513465,56.23153200878602,65.521601999299,25.761214590504014,0.0012279031606761978,0
NZDUSD,BUY,2026-01-06T07:00:00+00:00,OVERLAP_ASIA_EU,-5.306128988543435,0,65.73239708298202,72.04807409314078,59.45213444519578,27.18663305719779,0.0008154035083696319,7
US100,SELL,2025-12-31T01:00:00+00:00,ASIA,-2.299300000000003,0,25.670047106495648,29.59791382629308,42.04371954365421,15.721374513438658,44.35901419442255,1
GBPUSD,BUY,2026-01-05T17:00:00+00:00,US,-1.5100000000001224,0,79.21070120167927,71.99340746523382,57.643167424883565,17.3993013366234,0.001983381109763262,17
USDCAD,BUY,2026-01-07T03:00:00+00:00,ASIA,3.614244359105909,1,52.44279927543541,67.1039462623767,73.32399808236958,31.04270359442468,0.0010660332331180213,3
USDCHF,BUY,2026-01-06T21:00:00+00:00,US,6.267237224050036,1,63.416739184754654,65.84972509787215,60.94734659745569,25.120621921179456,0.0009526108957752231,21
US500,BUY,2026-01-06T18:00:00+00:00,US,-0.3427000000000044,0,69.36169290312306,67.43507780893216,59.90283786413037,25.30464365082939,11.824737734171867,18
US100,BUY,2026-01-07T00:00:00+00:00,ASIA,-0.24184861625763007,0,67.17906353409383,69.77039368196458,63.37592945965791,27.911556068253105,54.38460563756163,0
XAUUSD,BUY,2026-01-08T16:00:00+00:00,US,8.96600000000035,1,66.15068272136612,56.82029882785504,54.73964300448035,33.84313927439062,16.693525387407874,16
XAUUSD,BUY,2026-01-08T18:00:00+00:00,US,5.0,1,66.63663556210228,60.81439906484939,54.73964300448035,29.51380002237603,16.138356073836327,18
XAUUSD,BUY,2026-01-08T21:00:00+00:00,US,5.967999999999847,1,71.72604159027931,63.5176603921405,54.188525402854026,26.234801830252806,16.36382955328656,21
USDJPY,BUY,2026-01-05T05:00:00+00:00,ASIA,0.031825241235299624,1,66.08173796959241,65.29380771015235,65.03150725750474,16.156811504497497,0.16898645101890303,5
AUDUSD,SELL,2026-01-08T17:00:00+00:00,US,-0.11398766320414035,0,47.2469451548225,34.678854212386526,43.09627572690585,41.99673661020831,0.0008729177200347534,17
XAUUSD,BUY,2026-01-09T06:00:00+00:00,ASIA,6.046999999999571,1,55.43249111884612,56.972108409758555,56.046308735893575,16.853697324000375,14.219103235637188,6
EURUSD,SELL,2026-01-07T19:00:00+00:00,US,4.999999999999893,1,42.98042154339746,40.94642840406389,42.074288819089915,14.371255865457886,0.0010480094712029763,19
XAUUSD,BUY,2026-01-09T12:00:00+00:00,EUROPE,5.0,1,58.748473300625186,59.96986017548682,58.57069101050189,12.496911985665822,12.37998660856432,12
AUDUSD,SELL,2026-01-09T07:00:00+00:00,OVERLAP_ASIA_EU,4.999999999999893,1,38.631557453512414,37.896874457569794,42.25770937729034,31.91439624321435,0.0006743131120234584,7
USDCAD,BUY,2026-01-08T00:00:00+00:00,ASIA,3.5950790557883603,1,67.76225926461795,73.09838620522402,75.57358235560375,35.32236612622913,0.000968462323063116,0
XAUUSD,BUY,2026-01-09T20:00:00+00:00,US,8.278000000000247,1,54.19920426210049,60.78026203380157,61.7225592709477,13.81364864321687,16.33029028904216,20
NZDUSD,SELL,2026-01-09T06:00:00+00:00,ASIA,-1.1900000000000244,0,40.611924694361946,35.33355948410918,35.25242788984528,43.199564276583274,0.0006359729028395321,6
US100,BUY,2026-01-09T14:00:00+00:00,OVERLAP_EU_US,-0.7527999999999884,0,72.79633590379511,63.93332954357792,53.74055625710817,15.978046828892182,50.36145797912479,14
GBPUSD,SELL,2026-01-09T17:00:00+00:00,US,-4.919999999999813,0,47.14757551077402,40.32511552013487,35.95942140594468,29.697420214606577,0.0017600343787732996,17
USDJPY,BUY,2026-01-12T12:00:00+00:00,EUROPE,0.031666413335331184,1,50.817682897575004,53.75218598662912,66.57321404152528,17.420088346132218,0.19613909231516538,12
USDCHF,SELL,2026-01-12T09:00:00+00:00,EUROPE,-2.7383015396315704,0,27.224502387994967,32.61139294307748,44.70473117776425,28.79676601275926,0.0011133984441925406,9
EURUSD,BUY,2026-01-12T08:00:00+00:00,OVERLAP_ASIA_EU,-2.1948457641154384,0,72.50218019785764,70.17818243165098,54.813250191164954,26.420160093932772,0.001192580040214494,8
XAUUSD,BUY,2026-01-13T00:00:00+00:00,ASIA,5.0,1,50.141562623392126,59.23877909690987,70.61411074965875,39.9490284055108,18.188403907090713,0
USDJPY,BUY,2026-01-13T03:00:00+00:00,ASIA,0.9067439078144037,1,74.43466995002738,71.61708895094034,64.86869078255323,14.632953321442503,0.2062615437260671,3
GBPUSD,BUY,2026-01-12T15:00:00+00:00,OVERLAP_EU_US,4.999999999999893,1,57.2874866623831,64.06523526619576,53.91592017877576,32.71221179014059,0.0017216875019099597,15
NZDUSD,BUY,2026-01-13T00:00:00+00:00,ASIA,-4.1929254991495135,0,62.01646843264979,71.16929771468295,59.782469167233856,40.246002741728894,0.0006481337926735246,0
GBPUSD,BUY,2026-01-13T14:00:00+00:00,OVERLAP_EU_US,-5.243088021810394,0,55.91648755700296,56.025653174288735,56.48786544009603,33.71006730518415,0.0013969119781896437,14
GBPUSD,SELL,2026-01-13T21:00:00+00:00,US,-2.912078603102941,0,39.966377320163055,36.6596806513177,44.11383794537082,25.06042623150705,0.001482007444899427,21
US500,BUY,2026-01-09T14:00:00+00:00,OVERLAP_EU_US,-0.35029999999999745,0,77.21598775033344,68.1045456577225,55.29687564823872,14.073508306738468,9.505950867055251,14
US100,BUY,2026-01-13T06:00:00+00:00,ASIA,-3.1672999999999956,0,53.175338937961236,56.62385027852209,55.94691412602279,17.658306182058876,49.30372341085026,6
US100,SELL,2026-01-14T18:00:00+00:00,US,-9.10712601125091,0,30.6199199584736,19.31129140523365,32.78461213373524,27.29183979510515,85.11389809103292,18
US500,SELL,2026-01-14T17:00:00+00:00,US,-1.5412540098706904,0,33.78755628495006,20.09723317490822,35.27750652436888,26.190384307997437,16.034179693560567,17
AUDUSD,SELL,2026-01-14T14:00:00+00:00,OVERLAP_EU_US,-0.419999999999976,0,40.178704393567735,38.66109557227024,41.11384235476776,16.162481968773807,0.0007950870549640987,14
USDCAD,BUY,2026-01-12T00:00:00+00:00,ASIA,3.592709495805119,1,57.2132683107675,76.71517557327404,77.60974208434573,48.39718119056196,0.0009351321085670891,0
EURUSD,SELL,2026-01-13T21:00:00+00:00,US,4.999999999999893,1,42.4888249423364,40.19979503391971,41.92700933084608,17.863716867502934,0.0011232008723222105,21
GBPUSD,SELL,2026-01-15T18:00:00+00:00,US,-0.24000000000001798,0,44.12117105127628,34.35333933014495,34.50473693484492,25.932509495233987,0.0015161430245100517,18
US100,BUY,2026-01-15T12:00:00+00:00,EUROPE,-1.6241095285169287,0,72.78272814653383,64.57453966336472,54.58087780448405,25.079885994224934,69.26711579981423,12
EURUSD,SELL,2026-01-16T01:00:00+00:00,ASIA,6.180855542170516,1,37.15569512939618,34.98996099114322,35.54392278951593,41.85406375038301,0.0008793828915678205,1
US500,BUY,2026-01-15T17:00:00+00:00,US,-1.868176933343866,0,73.18820828899422,73.24604925716402,58.87753855539841,30.720665741990896,12.428098971092428,17
USDCHF,BUY,2026-01-16T01:00:00+00:00,ASIA,-15.645612845161747,0,65.00447457645707,66.85503706242088,65.47268222812367,25.560317470868466,0.0007598161297253077,1
XAUUSD,BUY,2026-01-19T00:00:00+00:00,ASIA,5.0,1,76.72454699988347,68.89250635065929,65.91011416730612,29.66050496070808,24.454992307223833,0
USDCAD,BUY,2026-01-16T14:00:00+00:00,OVERLAP_EU_US,-2.2714817271914294,0,62.911684099667326,56.766910085724625,54.21047184432476,11.087513728898731,0.0007643292590042722,14
NZDUSD,BUY,2026-01-19T00:00:00+00:00,ASIA,5.000000000000004,1,66.36128052662835,60.67925158859048,57.275622659762774,16.44051106994329,0.0007793917901598604,0
USDCHF,SELL,2026-01-19T03:00:00+00:00,ASIA,6.297705116255641,1,39.50058234717835,32.235643609269886,41.94091137776295,26.604218083032432,0.00122833187883661,3
USDCAD,SELL,2026-01-20T03:00:00+00:00,ASIA,3.6188615061700817,1,40.03744239762006,38.26872104347374,43.76656018355707,32.52523046829299,0.0007984583263374919,3
EURUSD,BUY,2026-01-20T09:00:00+00:00,EUROPE,4.999999999999893,1,82.63317688869402,86.7322061860878,69.7450064650783,31.7995997807597,0.0012208076291726194,9
AUDUSD,BUY,2026-01-19T15:00:00+00:00,OVERLAP_EU_US,5.000000000000004,1,68.37009677250747,65.03939740934425,56.052855804231136,16.965345901628183,0.0008047523452739126,15
USDJPY,SELL,2026-01-20T14:00:00+00:00,OVERLAP_EU_US,0.03167905317642985,1,46.333519641889765,44.78815003964708,42.542182873732386,16.226740199285526,0.2534288028539355,14
NZDUSD,BUY,2026-01-20T12:00:00+00:00,EUROPE,4.999999999999893,1,62.786694551897575,82.5408199965578,81.71135181875762,41.05249849441829,0.0007951929656481144,12
US100,SELL,2026-01-19T01:00:00+00:00,ASIA,-2.144700000000012,0,28.53555610617075,24.154738331018688,36.611981877133644,30.63933618903883,80.63608086233901,1
US500,SELL,2026-01-19T01:00:00+00:00,ASIA,-0.19270000000001347,0,26.71887325705899,22.71219089591895,37.51980827916855,27.39302272618775,15.844444154842996,1
